date,gas-SPX-0,gas-SPX-smth,WTI-SPX-0,WTI-SPX-smth
1986-03-01,,,-0.5900925115751114,-0.3302384646557163
1986-04-01,,,-0.4059034272770849,-0.3208322182064007
1986-05-01,,,-0.32884891902289753,-0.31526691347940433
1986-06-01,,,-0.2815308800635491,-0.314406080881082
1986-07-01,,,-0.3539973953247725,-0.31641378576307616
1986-08-01,,,-0.5417456362430759,-0.3141214127799481
1986-09-01,,,-0.5376700345090409,-0.29882544450615933
1986-10-01,,,-0.4593182590718128,-0.28324910402241615
1986-11-01,,,-0.47235829460532686,-0.2707645168034295
1986-12-01,,,-0.4165607964600953,-0.2572765631421975
1987-01-01,,,-0.515665460703656,-0.2469543881586198
1987-02-01,,,-0.5578318835459672,-0.23030959922792726
1987-03-01,,,-0.5211570674901556,-0.21019392408603854
1987-04-01,,,-0.5253831658278476,-0.19124026188265536
1987-05-01,,,-0.5339761384164209,-0.17180301851901142
1987-06-01,,,-0.5555130474953164,-0.1510077135951442
1987-07-01,,,-0.5142479761352984,-0.12859128968359834
1987-08-01,,,-0.5337946630181719,-0.10811850456326327
1987-09-01,,,-0.5736023914294763,-0.08660028178444329
1987-10-01,,,-0.5606991156307601,-0.059888421791944646
1987-11-01,,,-0.23322169276238996,-0.03219069896614071
1987-12-01,,,0.03459974351533124,-0.014057496320881449
1988-01-01,,,0.06074897596812211,-0.021090479495075476
1988-02-01,,,0.03571888162845874,-0.032384429579084106
1988-03-01,,,-0.0037451598620696497,-0.04117137005442526
1988-04-01,,,0.0432866617120334,-0.04556622016082861
1988-05-01,,,0.08166522424702138,-0.05516275467060419
1988-06-01,,,0.14688649560811484,-0.0693354011975913
1988-07-01,,,-0.008540835247177608,-0.09295681043772105
1988-08-01,,,-0.0029968509373139943,-0.10293482781429981
1988-09-01,,,0.0975527070297682,-0.11382857260387544
1988-10-01,,,0.06873995596589434,-0.13643136318025018
1988-11-01,,,0.11317920311500172,-0.15655883269941606
1988-12-01,,,-0.22866969901929252,-0.1835785654521263
1989-01-01,,,-0.18186655296703844,-0.17856645659247602
1989-02-01,,,-0.18360324793856006,-0.17823356473130883
1989-03-01,,,-0.06118968649281152,-0.17768781907050948
1989-04-01,,,-0.12884899588739343,-0.189305753502707
1989-05-01,,,-0.22479175483013333,-0.1951739450641553
1989-06-01,,,-0.1806216552080879,-0.19224003433180825
1989-07-01,,,-0.21094579697630234,-0.19353681547059023
1989-08-01,,,-0.2891977264787503,-0.19160392821952185
1989-09-01,,,-0.08656937836715164,-0.1810409181220331
1989-10-01,,,-0.09203355573402011,-0.19384747501100313
1989-11-01,,,-0.09241688412107879,-0.2060349163990809
1989-12-01,,,-0.25853311952095515,-0.21823126298177314
1990-01-01,,,-0.2591381721888658,-0.2132040212771915
1990-02-01,,,-0.21821290221185788,-0.20810707013170274
1990-03-01,,,-0.11319089933399615,-0.2069706444070214
1990-04-01,,,-0.14077014828601686,-0.21775989689609876
1990-05-01,,,-0.1308287741880404,-0.22578345198576388
1990-06-01,,,-0.1519978746029948,-0.234867615201419
1990-07-01,,,-0.1358289544036537,-0.24232627680505497
1990-08-01,,,-0.2874522727560069,-0.25121260019771885
1990-09-01,,,-0.3813406129921804,-0.24833078636929068
1990-10-01,,,-0.35945767025750486,-0.23108181277546064
1990-11-01,,,-0.3212453912973986,-0.2137859387345889
1990-12-01,,,-0.3271526172761537,-0.2002431111814187
1991-01-01,,,-0.4017164777191222,-0.18602420835208383
1991-02-01,,,-0.2342181802747279,-0.16352419733367024
1991-03-01,,,-0.24377837320244095,-0.15652058383941425
1991-04-01,,,-0.2342048496068008,-0.14141987993808008
1991-05-01,,,-0.23239438524852682,-0.12752018725145042
1991-06-01,,,-0.20362134024580264,-0.11381154118069357
1991-07-01,,,-0.22247060129569576,-0.10322060808878597
1991-08-01,,,-0.2226866985443307,-0.09046921124177285
1991-09-01,,,-0.21956492692244642,-0.07765735079214076
1991-10-01,,,-0.24128909063766676,-0.06472755754245765
1991-11-01,,,-0.23555894681559242,-0.049873444127712996
1991-12-01,,,-0.09519807495841567,-0.035378294675629904
1992-01-01,,,-0.058235411917449256,-0.030769675933840043
1992-02-01,,,0.00417764447083787,-0.02879008182073909
1992-03-01,,,0.039095528873604374,-0.032897657172919065
1992-04-01,,,-0.049597047142229886,-0.04140588509439302
1992-05-01,,,-0.0698686349794297,-0.04048158349885507
1992-06-01,,,-0.01730826607770592,-0.03746974181181584
1992-07-01,,,0.08050952164216807,-0.03936521914387599
1992-08-01,,,0.05773884183292616,-0.051096829692315646
1992-09-01,,,0.06557015794699214,-0.060914455890428876
1992-10-01,,,0.07097001323546566,-0.07140196660402177
1992-11-01,,,0.1766572064447501,-0.08232974867206908
1992-12-01,,,0.12057177672195306,-0.10224852030867514
1993-01-01,,,-0.03567063674186775,-0.11864843829650441
1993-02-01,,,-0.11030153099455321,-0.12682798216403546
1993-03-01,,,-0.11242202355236407,-0.12840043173260085
1993-04-01,,,-0.15425438259737873,-0.12986058990819704
1993-05-01,,,-0.036996878050241905,-0.12750083741688056
1993-06-01,,,-0.03933271027485496,-0.13827110436681783
1993-07-01,,,-0.06629507107148393,-0.14879402063096275
1993-08-01,,,-0.06345651931138097,-0.15675328976511255
1993-09-01,,,-0.13321301723404416,-0.16532422138793756
1993-10-01,,,-0.08984171511229007,-0.16841833254588653
1993-11-01,,,-0.18123570977551717,-0.1755764480330796
1993-12-01,,,0.03580897546893411,-0.17507544232882827
1994-01-01,,,0.028400480567692274,-0.1934997597007101
