date,lumber-SPX,lumber-SPX-smth,lumber-MSCI_W,lumber-MSCI_W-smth,lumber-MSCI_EM,lumber-MSCI_EM-smth,gold-SPX,gold-SPX-smth,gold-MSCI_W,gold-MSCI_W-smth,gold-MSCI_EM,gold-MSCI_EM-smth,wheat-SPX,wheat-SPX-smth,wheat-MSCI_W,wheat-MSCI_W-smth,wheat-MSCI_EM,wheat-MSCI_EM-smth,crude-SPX,crude-SPX-smth,crude-MSCI_W,crude-MSCI_W-smth,crude-MSCI_EM,crude-MSCI_EM-smth,rubber-SPX,rubber-SPX-smth,rubber-MSCI_W,rubber-MSCI_W-smth,rubber-MSCI_EM,rubber-MSCI_EM-smth,palladium-SPX,palladium-SPX-smth,palladium-MSCI_W,palladium-MSCI_W-smth,palladium-MSCI_EM,palladium-MSCI_EM-smth,gas-SPX,gas-SPX-smth,gas-MSCI_W,gas-MSCI_W-smth,gas-MSCI_EM,gas-MSCI_EM-smth,GSCI-SPX,GSCI-SPX-smth,GSCI-MSCI_W,GSCI-MSCI_W-smth,GSCI-MSCI_EM,GSCI-MSCI_EM-smth,hog-SPX,hog-SPX-smth,hog-MSCI_W,hog-MSCI_W-smth,hog-MSCI_EM,hog-MSCI_EM-smth,oats-SPX,oats-SPX-smth,oats-MSCI_W,oats-MSCI_W-smth,oats-MSCI_EM,oats-MSCI_EM-smth,DJCI-SPX,DJCI-SPX-smth,DJCI-MSCI_W,DJCI-MSCI_W-smth,DJCI-MSCI_EM,DJCI-MSCI_EM-smth,GSECI-SPX,GSECI-SPX-smth,GSECI-MSCI_W,GSECI-MSCI_W-smth,GSECI-MSCI_EM,GSECI-MSCI_EM-smth,GSNECI-SPX,GSNECI-SPX-smth,GSNECI-MSCI_W,GSNECI-MSCI_W-smth,GSNECI-MSCI_EM,GSNECI-MSCI_EM-smth,GSECI-GSNECI
01/01/1987,-0.044044631,-0.09188241,-0.091647519,-0.109083799,,,0.126609,0.150968283,0.008085626,0.04255937,,,-0.079253355,-0.024686606,-0.019070582,-0.019664798,,,0.176567892,0.087437665,0.110732918,0.06808578,,,-0.004939119,0.020224969,-0.097342895,-0.052473404,,,-0.059374877,0.004289322,-0.174616173,-0.116741831,,,,,,,,,-0.013386894,0.010153811,-0.045777142,-0.043198579,,,-0.276087807,-0.10264499,-0.286174997,-0.146826042,,,,,,,,,,,,,,,0.076295764,0.050498822,0.004662791,0.001430885,,,-0.117453767,-0.060108548,-0.107718611,-0.092373051,,,0.495428954
01/02/1987,0.202977817,0.158319318,0.792344938,0.56515458,,,-0.220727121,-0.257713534,-0.11438251,-0.234079996,,,0.184068928,0.035277251,0.331540459,0.101129813,,,-0.32377623,-0.137158358,-0.61777849,-0.329654483,,,-0.010888256,-0.037093139,0.294597775,0.248562659,,,0.112529398,-0.011509991,0.695871048,0.579889868,,,,,,,,,0.084487924,-0.019901152,0.460532049,0.220376498,,,0.481943063,0.161650389,1.217537305,0.707636635,,,,,,,,,,,,,,,-0.08359288,-0.082225262,0.153085921,-0.005857517,,,0.231313636,0.094749163,0.614757814,0.466732764,,,-0.170605907
01/03/1987,0.25635081,0.156443141,0.119886564,0.079132761,,,-0.208861166,-0.260244785,-0.016513727,-0.035825319,,,0.160434892,0.025062698,0.046417221,0.01105214,,,-0.300931338,-0.124344293,-0.088560453,-0.043288853,,,-0.057125841,-0.038890827,0.037676431,0.035325932,,,0.004141589,-0.016707768,0.092130183,0.082654732,,,,,,,,,-0.038202079,-0.027066146,0.054290637,0.028193152,,,0.286417674,0.148223116,0.162683026,0.096275569,,,,,,,,,,,,,,,-0.172603137,-0.082128957,0.012469222,-0.003342745,,,0.20227895,0.085372166,0.08697126,0.065366423,,,0.044632724
01/04/1987,0.107512947,0.073458687,0.280632525,0.213913537,,,-0.087420193,-0.127412827,-0.002247251,-0.106328465,,,0.0785838,0.007664716,0.132096875,0.021369168,,,-0.146626167,-0.054275649,-0.249100948,-0.109497857,,,-0.019239828,-0.01818994,0.129004408,0.098927273,,,0.02068543,-0.008514112,0.297163649,0.230862287,,,,,,,,,0.002041964,-0.012710356,0.216251044,0.072250853,,,0.154883995,0.068675014,0.486518306,0.256477729,,,,,,,,,,,,,,,-0.065819273,-0.03670754,0.090648987,-0.013797497,,,0.098048547,0.037406773,0.239421356,0.178278824,,,-0.015766684
01/05/1987,-0.200361778,-0.132628118,0.093255065,0.071045082,,,0.271870454,0.239464508,0.014264172,-0.03951745,,,-0.126901959,-0.005695274,0.046123247,0.00374068,,,0.274720039,0.089013942,-0.082128747,-0.032819528,,,0.081933516,0.033383934,0.049771433,0.0327165,,,0.059407033,0.017994242,0.110359055,0.076825805,,,,,,,,,0.022066561,0.025166808,0.076442168,0.019999746,,,-0.254835412,-0.119689954,0.165668984,0.081191071,,,,,,,,,,,,,,,0.094775584,0.064162783,0.02802573,-0.008030139,,,-0.088093231,-0.0617055,0.091718595,0.058737584,,,-0.30242677
01/06/1987,-0.142703647,-0.087599588,-0.024096163,-0.017811196,,,0.1701157,0.160418372,-0.00384075,0.011328058,,,-0.107951671,0.001353258,-0.012288588,-2.22E-05,,,0.19364951,0.052178168,0.021292853,0.007329298,,,0.048659578,0.02047441,-0.012868692,-0.008016332,,,0.020829049,0.010924593,-0.028587253,-0.019082291,,,,,,,,,0.025428291,0.017138567,-0.019396097,-0.00388253,,,-0.143134656,-0.07684786,-0.042103906,-0.019248501,,,,,,,,,,,,,,,0.073115991,0.042041815,-0.006986789,0.002857731,,,-0.057251407,-0.04056272,-0.023502504,-0.014339891,,,-0.007225727
01/07/1987,0.113778962,0.06132058,-0.019293845,-0.014117879,,,-0.120044713,-0.115033943,-0.003094851,0.010178217,,,0.060765228,-0.005777546,-0.010378045,0.000773056,,,-0.128187638,-0.031337763,0.017526325,0.005051887,,,-0.005320177,-0.013497693,-0.009714432,-0.006197445,,,-0.016017495,-0.007552194,-0.023235638,-0.014972253,,,,,,,,,-0.011277608,-0.011971072,-0.015577131,-0.002152668,,,0.099626799,0.053231279,-0.034218509,-0.014369515,,,,,,,,,,,,,,,-0.045213337,-0.028893735,-0.005502599,0.00295576,,,0.039795736,0.028461354,-0.019104648,-0.011055084,,,0.013009618
01/08/1987,0.055339549,0.029195128,-0.070371114,-0.049999288,,,-0.057131381,-0.056688603,-0.008447323,0.040451081,,,0.030017463,-0.004769044,-0.037354885,0.005779043,,,-0.065955463,-0.012695832,0.059434098,0.014990709,,,-0.004071267,-0.006903857,-0.037063708,-0.021535169,,,-0.00528657,-0.003553598,-0.080849018,-0.052384002,,,,,,,,,-0.004816944,-0.005934288,-0.05524113,-0.004223803,,,0.048756486,0.025325774,-0.123792296,-0.047520923,,,,,,,,,,,,,,,-0.020794786,-0.013805451,-0.017853782,0.012975579,,,0.017827376,0.013735272,-0.071413533,-0.037940801,,,0.112434983
01/09/1987,0.553150396,0.194205375,0.549294765,0.282095102,,,-0.483026898,-0.391259122,-0.095378783,-0.25343046,,,0.309931574,-0.046189257,0.315072956,-0.050597756,,,-0.491382269,-0.067362172,-0.393419596,-0.069009966,,,0.259179674,-0.04874999,0.46302543,0.118373813,,,-0.165751373,-0.024047756,0.284038816,0.293070032,,,,,,,,,-0.154478635,-0.041401433,0.15520771,0.004118594,,,0.296903336,0.168254333,0.626907894,0.248297468,,,,,,,,,,,,,,,-0.265341966,-0.092660826,-0.047739113,-0.087322665,,,0.20023299,0.093280589,0.45046878,0.206117451,,,-0.189850771
01/10/1987,-0.430642384,-0.124227533,-0.191121583,-0.086197885,,,0.297194202,0.27040689,0.026280595,0.086457362,,,-0.164498237,0.047458417,-0.092528789,0.025330807,,,0.335836159,0.029272077,0.129514537,0.01466813,,,-0.202741624,0.047213301,-0.156179374,-0.030276114,,,0.097721192,0.012152875,-0.09294872,-0.095761729,,,,,,,,,0.082957579,0.024237006,-0.053988034,0.002306049,,,-0.272983486,-0.113682404,-0.21752527,-0.07276302,,,,,,,,,,,,,,,0.165584087,0.057648885,0.013465119,0.029430715,,,-0.154851379,-0.060866193,-0.150058548,-0.061310517,,,0.094587371
