date,gas-SPX,gas-SPX-smth,WTI-SPX,WTI-SPX-smth
1986-03-01,,,0.1307825656085626,0.1248680306838259
1986-04-01,,,0.14959133284276194,0.12536748644296947
1986-05-01,,,0.2038657610449912,0.12935433961498766
1986-06-01,,,0.24329844649708476,0.12932473189817828
1986-07-01,,,0.1909867742505047,0.1264860713308551
1986-08-01,,,0.08010765729170166,0.1266852813493391
1986-09-01,,,0.08486619427135977,0.13834746761456418
1986-10-01,,,0.11064745453994729,0.15046921904866117
1986-11-01,,,0.11088849717889804,0.16185802752395395
1986-12-01,,,0.1444769509610424,0.17378693292611924
1987-01-01,,,0.09967475900324274,0.18265172958717368
1987-02-01,,,0.08341640546738072,0.19747160827347487
1987-03-01,,,0.09910799038939078,0.21665184158869333
1987-04-01,,,0.10255117425189164,0.23551592465430005
1987-05-01,,,0.10035735787348399,0.25537158665510873
1987-06-01,,,0.09548387422040472,0.2779234441870496
1987-07-01,,,0.1180398633750741,0.3037254067800057
1987-08-01,,,0.11503934618907707,0.3280581278964253
1987-09-01,,,0.08957512120613031,0.35541417223463245
1987-10-01,,,0.09365040338341168,0.39458316487601963
1987-11-01,,,0.2418243929150543,0.4398991685806002
1987-12-01,,,0.5523272562682833,0.4729611967023617
1988-01-01,,,0.5892723074493247,0.4603236047864858
1988-02-01,,,0.5510449099491418,0.4404175946200013
1988-03-01,,,0.49488020452793635,0.42561908747592847
1988-04-01,,,0.5565617412558173,0.41845919678691756
1988-05-01,,,0.6036592515359279,0.40168369448280206
1988-06-01,,,0.6863374394925085,0.37673871852221197
1988-07-01,,,0.4882872786618675,0.3370770539310596
1988-08-01,,,0.4960527789957907,0.3225299907076473
1988-09-01,,,0.625135744229316,0.30593385707443954
1988-10-01,,,0.5852335718071497,0.2720753092474224
1988-11-01,,,0.6399064103406138,0.2419735424024898
1988-12-01,,,0.22291567898018771,0.20476603563619133
1989-01-01,,,0.28176084885349373,0.21241867517908064
1989-02-01,,,0.27916274693069565,0.2119243821513026
1989-03-01,,,0.4233879149317753,0.2116797263309691
1989-04-01,,,0.34405146697092626,0.19519049996425775
1989-05-01,,,0.23962744503505506,0.1852349886267457
1989-06-01,,,0.2731097220115274,0.18601519417873813
1989-07-01,,,0.2410621059957938,0.18392614908980354
1989-08-01,,,0.1706926404766027,0.1855907257868834
1989-09-01,,,0.37496366958550453,0.1974941967942463
1989-10-01,,,0.37508358628666594,0.1857688646442608
1989-11-01,,,0.3810246758501943,0.17300299979595546
1989-12-01,,,0.1805948643612174,0.15844369858690988
1990-01-01,,,0.19400974230116763,0.16747429802939406
1990-02-01,,,0.23215946311841695,0.17415899821685854
1990-03-01,,,0.35051496339008703,0.17686867930736971
1990-04-01,,,0.32475571284347715,0.16693612731069873
1990-05-01,,,0.34286465675981515,0.1584066289099273
1990-06-01,,,0.32419305062938475,0.14705703629349864
1990-07-01,,,0.3473963371540184,0.1359452177028646
1990-08-01,,,0.2087977216390804,0.12142069283563672
1990-09-01,,,0.0848357393863266,0.11587374797462624
1990-10-01,,,0.09351727761514139,0.13458315015687172
1990-11-01,,,0.1270532530538071,0.15668188401084904
1990-12-01,,,0.1367460317942738,0.17459539715308248
1991-01-01,,,0.09723661130289085,0.1914701298822984
1991-02-01,,,0.23049771626610105,0.21884437740556995
1991-03-01,,,0.15526145571371974,0.22421674083985876
1991-04-01,,,0.18234012727757176,0.2569595428029785
1991-05-01,,,0.20039492462613429,0.2853109783476451
1991-06-01,,,0.2421998827765517,0.31106695738073586
1991-07-01,,,0.23346533002297143,0.33059960152596524
1991-08-01,,,0.2440933397812084,0.35224500991042573
1991-09-01,,,0.25374229543421567,0.3730165252657649
1991-10-01,,,0.24200644575057262,0.3936380863103579
1991-11-01,,,0.2552223022475758,0.41710824008610503
1991-12-01,,,0.3957992322146585,0.4401604520540776
1992-01-01,,,0.43788116643474906,0.4469755787612232
1992-02-01,,,0.5058826644358759,0.44903612035215157
1992-03-01,,,0.5534570653062103,0.44299217880671193
1992-04-01,,,0.43384014553653527,0.42969726062654545
1992-05-01,,,0.4115045238419608,0.43240303787901835
1992-06-01,,,0.4788379398846314,0.43801482973375805
1992-07-01,,,0.599426038869468,0.43513834471439183
1992-08-01,,,0.5688372290698063,0.4167314747941431
1992-09-01,,,0.5748788939417006,0.4012284164078358
1992-10-01,,,0.577937708204682,0.3841081596199367
1992-11-01,,,0.687904154657501,0.3654338960815886
1992-12-01,,,0.6282063179458148,0.33237841145794333
1993-01-01,,,0.4554141140390533,0.30387334450184356
1993-02-01,,,0.3668394528199437,0.2917316676314987
1993-03-01,,,0.36698553555047053,0.2888919778079031
1993-04-01,,,0.3156962645833994,0.2853800212514729
1993-05-01,,,0.449221853374437,0.28829775172190397
1993-06-01,,,0.4489659690458334,0.27609933023982447
1993-07-01,,,0.41842760929166456,0.26318621891749794
1993-08-01,,,0.4237401388414823,0.25261369525000354
1993-09-01,,,0.3396163910936689,0.24055585109610222
1993-10-01,,,0.3931327648575186,0.23679138101344144
1993-11-01,,,0.29485929618459683,0.22669426591412212
1993-12-01,,,0.5421468509081593,0.22579135865436584
1994-01-01,,,0.5321699280635358,0.20048978524171002
1994-02-01,,,0.5156480016356733,0.17504242313789053
1994-03-01,,,0.5652625327176808,0.1496888175315083
1994-04-01,,,0.292368077242791,0.1199106981695699
1994-05-01,,,0.09589685148379223,0.10796600475394791
1994-06-01,,,0.11287819349120354,0.12473059059000624
1994-07-01,,,0.1270536503177888,0.13915141726008784
1994-08-01,,,0.24609780411683602,0.15145147963252925
