date,production
01/04/1995,6604
01/03/1995,6600
01/02/1995,6794
01/01/1995,6682
01/12/1994,6760
01/11/1994,6628
01/10/1994,6658
01/09/1994,6609
01/08/1994,6544
01/07/1994,6501
01/06/1994,6611
01/05/1994,6688
01/04/1994,6612
01/03/1994,6746
01/02/1994,6770
01/01/1994,6817
01/12/1993,6858
01/11/1993,6912
01/10/1993,6839
01/09/1993,6712
01/08/1993,6758
01/07/1993,6688
01/06/1993,6795
01/05/1993,6847
01/04/1993,6881
01/03/1993,6974
01/02/1993,6943
01/01/1993,6961
01/12/1992,7103
01/11/1992,7024
01/10/1992,7126
01/09/1992,7030
01/08/1992,6922
01/07/1992,7131
01/06/1992,7167
01/05/1992,7169
01/04/1992,7293
01/03/1992,7348
01/02/1992,7389
01/01/1992,7361
01/12/1991,7299
01/11/1991,7328
01/10/1991,7437
01/09/1991,7368
01/08/1991,7316
01/07/1991,7347
01/06/1991,7320
01/05/1991,7409
01/04/1991,7509
01/03/1991,7546
01/02/1991,7637
01/01/1991,7500
01/12/1990,7338
01/11/1990,7387
01/10/1990,7542
01/09/1990,7224
01/08/1990,7287
01/07/1990,7173
01/06/1990,7106
01/05/1990,7328
01/04/1990,7407
01/03/1990,7433
01/02/1990,7497
01/01/1990,7546
01/12/1989,7337
01/11/1989,7536
01/10/1989,7453
01/09/1989,7548
01/08/1989,7544
01/07/1989,7444
01/06/1989,7624
01/05/1989,7816
01/04/1989,7772
01/03/1989,7575
01/02/1989,7788
01/01/1989,7937
01/12/1988,7942
01/11/1988,8023
01/10/1988,8023
01/09/1988,7895
01/08/1988,8079
01/07/1988,8040
01/06/1988,8170
01/05/1988,8229
01/04/1988,8288
01/03/1988,8374
01/02/1988,8374
01/01/1988,8250
01/12/1987,8318
01/11/1987,8397
01/10/1987,8364
01/09/1987,8205
01/08/1987,8210
01/07/1987,8251
01/06/1987,8279
01/05/1987,8336
01/04/1987,8498
01/03/1987,8464
01/02/1987,8389
01/01/1987,8480
01/12/1986,8352
01/11/1986,8412
01/10/1986,8419
01/09/1986,8328
01/08/1986,8374
01/07/1986,8660
01/06/1986,8623
01/05/1986,8838
01/04/1986,8864
01/03/1986,9013
01/02/1986,9173
01/01/1986,9137
01/12/1985,9030
01/11/1985,8902
01/10/1985,8970
01/09/1985,8954
01/08/1985,8803
01/07/1985,8949
01/06/1985,9022
01/05/1985,9132
01/04/1985,9043
01/03/1985,9095
01/02/1985,9025
01/01/1985,8740
01/12/1984,8897
01/11/1984,8979
01/10/1984,8906
01/09/1984,8993
01/08/1984,8809
01/07/1984,8885
01/06/1984,8852
01/05/1984,8955
01/04/1984,8862
01/03/1984,8672
01/02/1984,8874
01/01/1984,8868
01/12/1983,8397
01/11/1983,8770
01/10/1983,8771
01/09/1983,8784
01/08/1983,8679
01/07/1983,8636
01/06/1983,8667
01/05/1983,8631
01/04/1983,8776
01/03/1983,8700
01/02/1983,8758
01/01/1983,8697
01/12/1982,8598
01/11/1982,8697
01/10/1982,8701
01/09/1982,8701
01/08/1982,8634
01/07/1982,8658
01/06/1982,8646
01/05/1982,8683
01/04/1982,8591
01/03/1982,8667
01/02/1982,8702
01/01/1982,8509
01/12/1981,8585
01/11/1981,8586
01/10/1981,8563
01/09/1981,8604
01/08/1981,8583
01/07/1981,8500
01/06/1981,8629
01/05/1981,8501
01/04/1981,8557
01/03/1981,8613
01/02/1981,8604
01/01/1981,8540
01/12/1980,8606
01/11/1980,8495
01/10/1980,8532
01/09/1980,8619
01/08/1980,8414
01/07/1980,8547
01/06/1980,8554
01/05/1980,8635
01/04/1980,8685
01/03/1980,8698
01/02/1980,8705
01/01/1980,8675
01/12/1979,8615
01/11/1979,8761
01/10/1979,8621
01/09/1979,8523
01/08/1979,8548
01/07/1979,8364
01/06/1979,8432
01/05/1979,8601
01/04/1979,8553
01/03/1979,8601
01/02/1979,8525
01/01/1979,8475
01/12/1978,8662
01/11/1978,8741
01/10/1978,8820
01/09/1978,8800
01/08/1978,8758
01/07/1978,8756
01/06/1978,8832
01/05/1978,8825
01/04/1978,8818
01/03/1978,8720
01/02/1978,8377
01/01/1978,8360
01/12/1977,8487
01/11/1977,8579
01/10/1977,8573
01/09/1977,8480
01/08/1977,8307
01/07/1977,8105
01/06/1977,8102
01/05/1977,8075
01/04/1977,8145
01/03/1977,8090
01/02/1977,8139
01/01/1977,7854
01/12/1976,8061
01/11/1976,8080
01/10/1976,8063
01/09/1976,8150
01/08/1976,8111
01/07/1976,8127
01/06/1976,8094
01/05/1976,8125
01/04/1976,8077
01/03/1976,8232
01/02/1976,8231
01/01/1976,8232
01/12/1975,8254
01/11/1975,8278
01/10/1975,8324
01/09/1975,8280
01/08/1975,8249
01/07/1975,8336
01/06/1975,8421
01/05/1975,8379
01/04/1975,8457
01/03/1975,8493
01/02/1975,8591
01/01/1975,8455
01/12/1974,8527
01/11/1974,8569
01/10/1974,8611
01/09/1974,8443
01/08/1974,8699
01/07/1974,8780
01/06/1974,8780
01/05/1974,8911
01/04/1974,8954
01/03/1974,8965
01/02/1974,9142
01/01/1974,8934
