date,GEPU_current,GEPU_ppp
01/03/2009,132.9036299,136.418205
01/04/2009,104.0484841,106.671474
01/05/2009,103.6671032,100.5123566
01/06/2009,109.2521348,116.0430891
01/07/2009,101.3587957,107.8664092
01/08/2009,98.37936586,99.7581198
01/09/2009,100.218267,107.282547
01/10/2009,86.27002269,87.31866274
01/11/2009,99.15522991,97.74277563
01/12/2009,98.9276834,97.85045229
01/01/2010,112.9518425,111.8135057
01/02/2010,111.3658325,114.0408861
01/03/2010,106.5944725,107.5997244
01/04/2010,103.23659,98.86038646
01/05/2010,147.5253608,141.9938609
01/06/2010,133.6927407,132.9676182
01/07/2010,141.2582648,133.8160335
01/08/2010,120.9414571,116.4405332
01/09/2010,133.1445405,126.4766469
01/10/2010,122.1938307,115.0637339
01/11/2010,127.1966296,121.1777933
01/12/2010,129.355777,130.1331663
01/01/2011,110.2156604,116.084801
01/02/2011,93.26097995,91.68496574
01/03/2011,126.041286,124.6643942
01/04/2011,114.6632463,116.0262901
01/05/2011,88.85355507,85.04902486
01/06/2011,117.0556873,111.4205256
01/07/2011,155.3989876,154.5116092
01/08/2011,214.7220387,211.7590136
01/09/2011,190.9686766,188.0003603
01/10/2011,165.4359115,170.4663849
01/11/2011,197.73914,204.4283697
01/12/2011,181.5238631,190.9031357
01/01/2012,161.0066138,167.6013143
01/02/2012,141.7379379,147.959613
01/03/2012,134.2934711,148.0697126
01/04/2012,126.6017294,130.3418278
01/05/2012,159.5524774,164.3600231
01/06/2012,188.239719,194.9090092
01/07/2012,158.9404525,162.0539373
01/08/2012,122.546145,126.6236029
01/09/2012,151.9047822,152.9628708
01/10/2012,158.5837537,162.3947804
01/11/2012,174.0312613,171.9893412
01/12/2012,168.6676034,166.6899271
01/01/2013,167.8725431,165.9055206
01/02/2013,125.7667966,125.8217058
01/03/2013,141.7754737,139.3923648
01/04/2013,134.7114105,135.9027234
01/05/2013,106.5115401,105.0218387
01/06/2013,120.4864754,118.3850079
01/07/2013,108.0230616,107.549075
01/08/2013,118.6752319,124.9730347
01/09/2013,132.7293942,132.0945525
01/10/2013,157.7578957,151.5129874
01/11/2013,95.95382609,95.78812531
01/12/2013,118.2681721,120.3025499
01/01/2014,110.8411174,112.6534543
