date,adj_close
01/12/2003,1.788813
01/01/2004,1.824485
01/02/2004,1.874485
01/03/2004,1.843386
01/04/2004,1.7786
01/05/2004,1.83261
01/06/2004,1.820201
01/07/2004,1.822091
01/08/2004,1.802484
01/09/2004,1.812809
01/10/2004,1.841485
01/11/2004,1.9096
01/12/2004,1.919791
01/01/2005,1.884197
01/02/2005,1.919202
01/03/2005,1.889502
01/04/2005,1.908798
01/05/2005,1.817686
01/06/2005,1.790286
01/07/2005,1.754386
01/08/2005,1.803394
01/09/2005,1.764602
01/10/2005,1.768784
01/11/2005,1.730912
01/12/2005,1.720697
01/01/2006,1.7786
01/02/2006,1.754201
01/03/2006,1.73771
01/04/2006,1.824285
01/05/2006,1.871608
01/06/2006,1.84901
01/07/2006,1.868216
01/08/2006,1.903094
01/09/2006,1.871713
01/10/2006,1.908288
01/11/2006,1.966414
01/12/2006,1.959209
01/01/2007,1.963402
01/02/2007,1.964019
01/03/2007,1.968194
01/04/2007,2
01/05/2007,1.979806
01/06/2007,2.008314
01/07/2007,2.029386
01/08/2007,2.017186
01/09/2007,2.045785
01/10/2007,2.07978
01/11/2007,2.056682
01/12/2007,1.98661
01/01/2008,1.990604
01/02/2008,1.98661
01/03/2008,1.984206
01/04/2008,1.987795
01/05/2008,1.979492
01/06/2008,1.992985
01/07/2008,1.983104
01/08/2008,1.810512
01/09/2008,1.782086
01/10/2008,1.607304
01/11/2008,1.534778
01/12/2008,1.46561
01/01/2009,1.441296
01/02/2009,1.427796
01/03/2009,1.434494
01/04/2009,1.478809
01/05/2009,1.617861
01/06/2009,1.646687
01/07/2009,1.670509
01/08/2009,1.629195
01/09/2009,1.600205
01/10/2009,1.644791
01/11/2009,1.645793
01/12/2009,1.618202
01/01/2010,1.597597
01/02/2010,1.51805
01/03/2010,1.518372
01/04/2010,1.530011
01/05/2010,1.452201
01/06/2010,1.494433
01/07/2010,1.569809
01/08/2010,1.546599
01/09/2010,1.579579
01/10/2010,1.577412
01/11/2010,1.555621
01/12/2010,1.54371
01/01/2011,1.58293
01/02/2011,1.610047
01/03/2011,1.607407
01/04/2011,1.665002
01/05/2011,1.648777
01/06/2011,1.607588
01/07/2011,1.636849
01/08/2011,1.630763
01/09/2011,1.559941
01/10/2011,1.611188
01/11/2011,1.559795
01/12/2011,1.541592
01/01/2012,1.570845
01/02/2012,1.592205
01/03/2012,1.601691
01/04/2012,1.628134
01/05/2012,1.548299
01/06/2012,1.570697
01/07/2012,1.571339
01/08/2012,1.579031
01/09/2012,1.614518
01/10/2012,1.607459
01/11/2012,1.604107
01/12/2012,1.616292
01/01/2013,1.579779
01/02/2013,1.51676
01/03/2013,1.519711
01/04/2013,1.549427
01/05/2013,1.522905
01/06/2013,1.520427
01/07/2013,1.524204
01/08/2013,1.551109
01/09/2013,1.616893
01/10/2013,1.602615
01/11/2013,1.636902
01/12/2013,1.649512
01/01/2014,1.649838
01/02/2014,1.669198
01/03/2014,1.664392
01/04/2014,1.682425
01/05/2014,1.675912
01/06/2014,1.703403
01/07/2014,1.691017
01/08/2014,1.65909
01/09/2014,1.62422
01/10/2014,1.600102
01/11/2014,1.561305
01/12/2014,1.556905
01/01/2015,1.507
01/02/2015,1.543805
01/03/2015,1.480911
01/04/2015,1.542686
01/05/2015,1.53191
01/06/2015,1.573193
01/07/2015,1.560428
01/08/2015,1.541806
01/09/2015,1.515795
01/10/2015,1.5429
01/11/2015,1.503895
01/12/2015,1.481921
01/01/2016,1.424603
01/02/2016,1.386194
01/03/2016,1.437401
01/04/2016,1.46171
01/05/2016,1.463507
01/06/2016,1.346584
01/07/2016,1.321633
01/08/2016,1.309072
01/09/2016,1.296344
01/10/2016,1.221598
01/11/2016,1.249219
01/12/2016,1.234004
01/01/2017,1.25
01/02/2017,1.243936
01/03/2017,1.247847
01/04/2017,1.293159
01/05/2017,1.280902
01/06/2017,1.301118
01/07/2017,1.314492
01/08/2017,1.292056
01/09/2017,1.339674
01/10/2017,1.321248
01/11/2017,1.341724
01/12/2017,1.351607
01/01/2018,1.415588
01/02/2018,1.390608
01/03/2018,1.401699
01/04/2018,1.377107
01/05/2018,1.328356
01/06/2018,1.321004
01/07/2018,1.313543
01/08/2018,1.301101
01/09/2018,1.303101
01/10/2018,1.27089
01/11/2018,1.278445
01/12/2018,1.269358
01/01/2019,1.311716
01/02/2019,1.331824
01/03/2019,1.304495
01/04/2019,1.293243
01/05/2019,1.26097
01/06/2019,1.269599
01/07/2019,1.21616
01/08/2019,1.215894
01/09/2019,1.229317
01/10/2019,1.290173
01/11/2019,1.293
01/12/2019,1.311303
01/01/2020,1.3089
01/02/2020,1.281839
01/03/2020,1.237164
01/04/2020,1.247147
01/05/2020,1.234499
01/06/2020,1.231057
01/07/2020,1.311785
01/08/2020,1.335648
01/09/2020,1.286654
01/10/2020,1.294901
01/11/2020,1.333191
01/12/2020,1.363066
01/01/2021,1.370601
01/02/2021,1.393
01/03/2021,1.374665
01/04/2021,1.395284
01/05/2021,1.418037
01/06/2021,1.384275
01/07/2021,1.390401
01/08/2021,1.376046
01/09/2021,1.342642
01/10/2021,1.369
01/11/2021,1.331505
01/12/2021,1.349837
01/01/2022,1.340339
01/02/2022,1.359601
,
